image_id,field,ai_value,human_value,match,diff_abs
g001,flower_count,5,,AI_ONLY,
g001,bud_count,,3,HUMAN_ONLY,
g001,damaged_count,,0,HUMAN_ONLY,
g002,flower_count,5,,AI_ONLY,
g002,bud_count,,,PENDING,
g002,damaged_count,,0,HUMAN_ONLY,
g003,flower_count,10,,AI_ONLY,
g003,bud_count,,,PENDING,
g003,damaged_count,,,PENDING,
g004,flower_count,9,,AI_ONLY,
g004,bud_count,,,PENDING,
g004,damaged_count,,,PENDING,
g005,flower_count,10,,AI_ONLY,
g005,bud_count,,,PENDING,
g005,damaged_count,,,PENDING,
g006,flower_count,7,,AI_ONLY,
g006,bud_count,,,PENDING,
g006,damaged_count,,,PENDING,
