image_id,file,source,product_name,product_form,difficulty,flower_count,bud_count,damaged_count,order_count,occluded,labeled_by,verified_by
g001,g001.jpeg,BoAnhVang/HOA CHIA BUỒN/GIỎ HOA/MÀU TRẮNG/GHCB0001,HOA CHIA BUỒN / GIỎ HOA / MÀU TRẮNG / GHCB0001,gio,,,,,,,,
g002,g002.jpeg,BoAnhVang/HOA CHIA BUỒN/GIỎ HOA/MÀU TRẮNG/GHCB0002,HOA CHIA BUỒN / GIỎ HOA / MÀU TRẮNG / GHCB0002,gio,,,,,,,,
g003,g003.png,BoAnhVang/HOA CHIA BUỒN/GIỎ HOA/MÀU TRẮNG/GHCB0003,HOA CHIA BUỒN / GIỎ HOA / MÀU TRẮNG / GHCB0003,gio,,,,,,,,
g004,g004.png,BoAnhVang/HOA CHIA BUỒN/GIỎ HOA/MÀU TRẮNG/GHCB0004,HOA CHIA BUỒN / GIỎ HOA / MÀU TRẮNG / GHCB0004,gio,,,,,,,,
g005,g005.png,BoAnhVang/HOA CHIA BUỒN/GIỎ HOA/MÀU TRẮNG/GHCB0005,HOA CHIA BUỒN / GIỎ HOA / MÀU TRẮNG / GHCB0005,gio,,,,,,,,
g006,g006.png,BoAnhVang/HOA CHIA BUỒN/GIỎ HOA/MÀU TRẮNG/GHCB0006,HOA CHIA BUỒN / GIỎ HOA / MÀU TRẮNG / GHCB0006,gio,,,,,,,,
g007,g007.png,BoAnhVang/HOA CHIA BUỒN/GIỎ HOA/MÀU TRẮNG/GHCB0007,HOA CHIA BUỒN / GIỎ HOA / MÀU TRẮNG / GHCB0007,gio,,,,,,,,
g008,g008.jpeg,BoAnhVang/HOA CHIA BUỒN/GIỎ HOA/MÀU VÀNG/GHCB0023,HOA CHIA BUỒN / GIỎ HOA / MÀU VÀNG / GHCB0023,gio,,,,,,,,
g009,g009.jpeg,BoAnhVang/HOA CHIA BUỒN/GIỎ HOA/MÀU VÀNG/GHCB0024,HOA CHIA BUỒN / GIỎ HOA / MÀU VÀNG / GHCB0024,gio,,,,,,,,
g010,g010.jpeg,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TÍM/KHCH0077,HOA CHIA BUỒN / KỆ HOA / MÀU TÍM / KHCH0077,lang,,,,,,,,
g011,g011.jpeg,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TÍM/KHCH0078,HOA CHIA BUỒN / KỆ HOA / MÀU TÍM / KHCH0078,lang,,,,,,,,
g012,g012.jpeg,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TÍM/KHCH0079,HOA CHIA BUỒN / KỆ HOA / MÀU TÍM / KHCH0079,lang,,,,,,,,
g013,g013.jpeg,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TÍM/KHCH0080,HOA CHIA BUỒN / KỆ HOA / MÀU TÍM / KHCH0080,lang,,,,,,,,
g014,g014.jpeg,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TÍM/KHCH0081,HOA CHIA BUỒN / KỆ HOA / MÀU TÍM / KHCH0081,lang,,,,,,,,
g015,g015.jpeg,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TÍM/KHCH0082,HOA CHIA BUỒN / KỆ HOA / MÀU TÍM / KHCH0082,lang,,,,,,,,
g016,g016.jpeg,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TÍM/KHCH0083,HOA CHIA BUỒN / KỆ HOA / MÀU TÍM / KHCH0083,lang,,,,,,,,
g017,g017.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0001,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0001,lang,,,,,,,,
g018,g018.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0002,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0002,lang,,,,,,,,
g019,g019.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0003,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0003,lang,,,,,,,,
g020,g020.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0004,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0004,lang,,,,,,,,
g021,g021.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0005,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0005,lang,,,,,,,,
g022,g022.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0006,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0006,lang,,,,,,,,
g023,g023.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0007,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0007,lang,,,,,,,,
g024,g024.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0008,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0008,lang,,,,,,,,
g025,g025.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0009,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0009,lang,,,,,,,,
g026,g026.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0010,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0010,lang,,,,,,,,
g027,g027.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0011,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0011,lang,,,,,,,,
g028,g028.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0012,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0012,lang,,,,,,,,
g029,g029.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU TRẮNG/KHCB0013,HOA CHIA BUỒN / KỆ HOA / MÀU TRẮNG / KHCB0013,lang,,,,,,,,
g030,g030.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU VÀNG/KHCB0045,HOA CHIA BUỒN / KỆ HOA / MÀU VÀNG / KHCB0045,lang,,,,,,,,
g031,g031.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU VÀNG/KHCB0046,HOA CHIA BUỒN / KỆ HOA / MÀU VÀNG / KHCB0046,lang,,,,,,,,
g032,g032.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU VÀNG/KHCB0047,HOA CHIA BUỒN / KỆ HOA / MÀU VÀNG / KHCB0047,lang,,,,,,,,
g033,g033.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU VÀNG/KHCB0048,HOA CHIA BUỒN / KỆ HOA / MÀU VÀNG / KHCB0048,lang,,,,,,,,
g034,g034.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU VÀNG/KHCB0049,HOA CHIA BUỒN / KỆ HOA / MÀU VÀNG / KHCB0049,lang,,,,,,,,
g035,g035.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU VÀNG/KHCB0050,HOA CHIA BUỒN / KỆ HOA / MÀU VÀNG / KHCB0050,lang,,,,,,,,
