co_che,model,muc_suy_luan,so_anh_do,usd_moi_anh,vnd_moi_anh,giay_moi_anh,token_vao,token_ra,token_suy_luan,token_cache,lan_goi_moi_anh,ty_le_day_truong
Đầy đủ,gpt-4o,-,4,0.0232,610,6.6725,7514.25,811.75,0,2944,1,0.9294
Đầy đủ,gpt-5.6-luna,high,4,0.0167,439,76.33,11955.5,12477.5,9514.5,3456,1.5,0.8972
Đầy đủ,gpt-5.6-luna,low,4,0.007,184,26.55,9956,4138.75,2184.5,0,1.25,0.906
Đầy đủ,gpt-5.6-sol,high,1,0.1562,4108,218.21,7968,6215,4965,0,1,0.8971
Đầy đủ,gpt-5.6-sol,low,4,0.1097,2885,64.09,9956,3496,1751.75,0,1.25,0.891
Đầy đủ,gpt-5.6-terra,high,4,0.1049,2759,98.6125,9969.75,7633.25,5710,3712,1.25,0.8821
Đầy đủ,gpt-5.6-terra,low,4,0.0618,1625,49.2875,9956,3491.25,1859.5,0,1.25,0.894
Gọn,gpt-4o-mini,-,4,0.0046,121,9.7,29456,738,0,2880,1,0.8902
Gọn,gpt-5.6-luna,high,4,0.0083,218,36.88,5176,6053,4764,0,1,0.8968
Gọn,gpt-5.6-luna,low,4,0.0028,74,9.46,5176,1511.25,177.5,0,1,0.8963
Gọn,gpt-5.6-sol,high,4,0.1478,3887,130.2375,5176,6353.75,4753.25,0,1,0.894
Gọn,gpt-5.6-sol,low,4,0.0559,1470,33.3125,5176,1761,366,0,1,0.8947
Gọn,gpt-5.6-terra,high,4,0.0636,1673,52.25,5176,4434.75,3015.75,0,1,0.8934
Gọn,gpt-5.6-terra,low,4,0.0308,810,18.1825,5176,1703,400.75,0,1,0.8952
